City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lorengau,-2.0226,147.2712,300.67,82,100,2.59,PG,1714760960
1,waitangi,-43.9535,-176.5597,282.49,82,91,3.58,NZ,1714760960
2,turpan,42.9333,89.1667,297.45,12,76,0.77,CN,1714760960
3,kingston,17.997,-76.7936,303.68,70,40,8.23,JM,1714760753
4,nogliki,51.8333,143.1667,271.67,92,26,3.13,RU,1714760960
5,qaqortoq,60.7167,-46.0333,276.9,44,0,8.84,GL,1714760958
6,tura,25.5198,90.2201,296.29,40,3,2.35,IN,1714760961
7,yellowknife,62.456,-114.3525,281.16,48,20,3.09,CA,1714760851
8,ushuaia,-54.8,-68.3,279.94,81,40,0.51,AR,1714760675
9,lihue,21.9789,-159.3672,299.73,72,100,8.23,US,1714760961
10,edinburgh of the seven seas,-37.0676,-12.3116,289.95,93,100,21.84,SH,1714760961
11,longyearbyen,78.2186,15.6401,271.06,74,0,1.54,SJ,1714760961
12,bilibino,68.0546,166.4372,261.77,77,19,1.95,RU,1714760961
13,laojunmiao,39.8333,97.7333,283.03,26,38,1.21,CN,1714760962
14,petropavlovsk-kamchatsky,53.0452,158.6483,273.96,78,100,3.58,RU,1714760962
15,bethel,41.3712,-73.414,292.34,60,75,3.6,US,1714760808
16,karratha,-20.7377,116.8463,296.51,51,0,2.23,AU,1714760962
17,maksatikha,57.797,35.8825,274.9,54,0,1.13,RU,1714760962
18,susuman,62.7833,148.1667,265.92,94,54,1.79,RU,1714760962
19,stanley,54.868,-1.6985,285.92,89,75,4.63,GB,1714760768
20,ilulissat,69.2167,-51.1,268.16,68,75,4.12,GL,1714760963
21,ust-nera,64.5667,143.2,269.03,96,100,2.3,RU,1714760963
22,tanjungagung,-3.9333,103.8,297.52,98,100,1.13,ID,1714760963
23,olonkinbyen,70.9221,-8.7187,269.67,83,100,8.06,SJ,1714760963
24,grytviken,-54.2811,-36.5092,273.48,80,73,2.31,GS,1714760963
25,jamestown,42.097,-79.2353,301.22,33,0,3.09,US,1714760814
26,haiku-pauwela,20.9219,-156.3051,298.27,88,40,5.66,US,1714760963
27,adamstown,-25.066,-130.1015,293.6,58,6,5.84,PN,1714760963
28,rouyn-noranda,48.2398,-79.0288,289.2,67,100,3.6,CA,1714760964
29,waat,51.1454,6.4958,289.21,79,0,1.54,DE,1714760964
30,barkhan,29.8977,69.5256,297.73,30,88,1.96,PK,1714760964
31,feijo,-8.1642,-70.3536,302.73,80,76,1.61,BR,1714760964
32,port-aux-francais,-49.35,70.2167,276.36,64,63,15.56,TF,1714760964
33,dudinka,69.4058,86.1778,260.19,95,100,3.13,RU,1714760784
34,tsiombe,-25.3,45.4833,294.33,73,41,6.79,MG,1714760964
35,badger,64.8,-147.5333,281.48,44,100,2.57,US,1714760964
36,hithadhoo,-0.6,73.0833,302.63,76,47,2.97,MV,1714760965
37,puerto ayora,-0.7393,-90.3518,301.13,71,58,3.95,EC,1714760965
38,isafjordur,66.0755,-23.124,280.17,76,100,2.57,IS,1714760965
39,blackmans bay,-43.0167,147.3167,282.44,94,97,1.53,AU,1714760965
40,suva,-18.1416,178.4415,298.86,94,75,3.09,FJ,1714760965
41,wailua homesteads,22.0669,-159.378,299.39,78,100,8.23,US,1714760965
42,la'ie,21.6477,-157.9253,298.4,74,46,3.13,US,1714760965
43,whitehorse,60.7161,-135.0538,284.87,36,40,7.72,CA,1714760675
